Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms,PDB Structures,n_structures
SEPT5,septin 5,5413.0,22:19714464-19723319,2,,22q11.21,yes,,AML,,,L,Dom,fusion,T,KMT2A,,,"CCDS13764.1,ENSG00000184702.19,H5,HCDCREL-1,NM_002688.5,NP_002679,PNUTL1,Q99719",['6WCU'],1
SEPT6,septin 6,23157.0,X:119617639-119693370,2,,Xq24,yes,,AML,,,L,Dom,fusion,T,KMT2A,,,"CCDS14584.1,ENSG00000125354.22,KIAA0128,MGC16619,MGC20339,NM_015129.5,NP_055944,Q14141,SEP2,SEPT2","['2QAG', '6UPA', '6WBP', '7M6J']",4
SEPT9,septin 9,10801.0,17:77281410-77500592,2,,17q25.3,yes,,AML*,,,L,Dom,fusion,T,KMT2A,,,"AF17q25,CCDS45790.1,ENSG00000184640.17,KIAA0991,MSF,MSF1,NM_001113491.1,NP_001106963,PNUTL4,Q9UHD8,SeptD1","['4YQF', '5CYO', '5CYP']",3
SET,SET translocation,6418.0,9:128683655-128696400,1,,9q34.11,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,NUP214,,,"2PP2A,CCDS48037.1,ENSG00000119335.16,IGAAD,IPP2A2,NM_001122821.1,NP_001116293,PHAPII,Q01105,TAF-I,TAF-IBETA","['2E50', '7MTO']",2
SETBP1,SET binding protein 1,26040.0,18:44680898-45068510,1,Yes,18q12.3,yes,yes,"aCML, sAML, MDS/MPN-U, CMML, JMML",neuroepithelial tumours,Schinzel-Giedion syndrome,L,Dom,"oncogene, fusion","Mis, T",NUP98,,,"CCDS11923.2,ENSG00000152217.17,KIAA0437,NM_015559.2,NP_056374,Q9Y6X0,SEB",,0
SETD1B,SET domain containing 1B,23067.0,12:121804180-121830239,2,,12q24.31,yes,,"CRC, endometrium",,,E,,TSG,"D, F",,,,"ENSG00000139718.10,KIAA1076,KMT2G,NP_001340274.1,Q9UPS6,Set1B",,0
SETD2,SET domain containing 2,29072.0,3:47016689-47163967,1,Yes,3p21.31,yes,,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,,,"CCDS2749.2,ENSG00000181555.20,FLJ23184,HIF-1,HYPB,KIAA1732,KMT3A,NM_014159.6,NP_054878,NP_001336299.1,Q9BYW2","['2A7O', '2MDC', '2MDI', '2MDJ', '4FMU', '4H12', '5JJY', '5JLB', '5JLE', '5LSS', '5LSX', '5LSY', '5LSZ', '5LT6', '5LT7', '5LT8', '5V21', '5V22', '6J9J', '6VDB', '7EA8', '7EVR', '7EVS', '7LZB', '7LZD', '7LZF', '7TY2', '7TY3']",28
SETDB1,SET domain bifurcated 1,9869.0,1:150926339-150964735,2,,1q21.3,yes,,malignant mesothelioma,,,E,,oncogene,"F, Mis",,,,"CCDS44217.1,ENSG00000143379.12,ESET,KG1T,KIAA0067,KMT1E,NM_001145415.1,NP_001138887,Q15047,TDRD21","['3DLM', '4X3S', '5KCH', '5KCO', '5KE2', '5KE3', '5KH6', '5QT1', '5QT2', '6AU2', '6AU3', '6BHD', '6BHE', '6BHG', '6BHH', '6BHI', '6BPI', '7C9N', '7CAJ', '7CD9', '7CJT', '8G5E', '8UWP']",23
SF3B1,"splicing factor 3b, subunit 1, 155kDa",23451.0,2:197389784-197435091,1,Yes,2q33.1,yes,,myelodysplastic syndrome,,,L,Dom,oncogene,Mis,,,,"CCDS33356.1,ENSG00000115524.15,Hsh155,NM_012433.3,NP_036565,O75533,PRPF10,Prp10,SAP155,SF3b155","['2F9D', '2F9J', '2FHO', '2PEH', '3LQV', '4OZ1', '5IFE', '5O9Z', '5Z56', '5Z57', '5Z58', '5ZYA', '6AH0', '6AHD', '6EN4', '6FF4', '6FF7', '6N3E', '6QX9', '6Y50', '6Y53', '6Y5Q', '7ABG', '7ABH', '7ABI', '7B0I', '7B91', '7B92', '7B9C', '7DVQ', '7EVN', '7EVO', '7OMF', '7ONB', '7OPI', '7Q3L', '7Q4O', '7Q4P', '7QTT', '7SN6', '7VPX', '8CH6', '8HK1']",43
SFPQ,splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated),6421.0,1:35182932-35193148,1,Yes,1p34.3,yes,,papillary renal,,,E,Dom,"TSG, fusion",T,TFE3,,,"CCDS388.1,ENSG00000116560.10,NM_005066.2,NP_005057,P23246,PPP1R140,PSF","['4WII', '4WIJ', '4WIK', '5WPA', '6NCQ', '6OWJ', '6WMZ', '7LRQ', '7LRU', '7PU5', '7SP0', '7UJ1', '7UK1']",13
SFRP4,secreted frizzled related protein 4,6424.0,7:37905932-37916915,1,,7p14.1,yes,,"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC",,,E,Rec,TSG,Mis,,yes,Pyle disease,"CCDS5453.1,ENSG00000106483.11,FRP-4,FRPHE,FRZB-2,NM_003014.3,NP_003005,Q6FHJ7,frpHE",,0
SGK1,serum/glucocorticoid regulated kinase 1,6446.0,6:134169246-134318058,2,,6q23.2,yes,,Nodular lymphocyte predominant Hodgkin lymphoma,,,L,,oncogene,Mis,,,,"CCDS47476.1,ENSG00000118515.11,NM_001143676.1,NP_001137148,O00141,SGK","['2R5T', '3HDM', '3HDN', '7PUE']",4
SH2B3,SH2B adaptor protein 3,10019.0,12:111405948-111451623,1,Yes,12q24.12,yes,,"MPN, sAML, erythrocytosis, B-ALL",,,L,Rec,TSG,"Mis, F, N",,yes,"Coeliac disease type 13; diabetes mellitus, insulin-dependent;","CCDS9153.1,ENSG00000111252.10,IDDM20,LNK,NM_005475.2,NP_005466,Q9UQQ2",,0
SH3GL1,SH3-domain GRB2-like 1 (EEN),6455.0,19:4360370-4400547,1,,19p13.3,yes,,AL,,,L,Dom,"oncogene, fusion",T,KMT2A,,,"CCDS32874.1,CNSA1,EEN,ENSG00000141985.9,MGC111371,NM_003025.3,NP_003016,Q99961,SH3D2B,SH3P8",,0
SHTN1,KIAA1598,57698.0,10:116883377-117005577,2,,10q25.3,yes,,Spitzoid tumour,,,E,Dom,fusion,T,ROS1,,,"A0MZ66,CCDS44482.1,ENSG00000187164.19,KIAA1598,NM_001127211.2,NP_001120683,shootin-1,shootin1",,0
SIRPA,signal regulatory protein alpha,140885.0,20:1894508-1940592,2,,20p13,yes,,"HNSCC, colorectal cancer, Lung SCC",,,E,,TSG,"O, F",,,,"BIT,CCDS82593.1,CD172a,ENSG00000198053.11,MFR,MYD-1,P78324,P84,PTPNS1,SHPS-1,SHPS1,SIRP,SIRP-ALPHA-1,SIRPalpha,SIRPalpha2","['2JJS', '2JJT', '2UV3', '2WNG', '4CMM', '6BIT', '6NMR', '6NMS', '6NMT', '6NMU', '6NMV', '7KPG', '7ST5', '7YGG']",14
SIX1,SIX homeobox 1,6495.0,14:60643415-60649462,1,Yes,14q23.1,yes,,Wilms tumour,,,O,,oncogene,Mis,,,,"CCDS9748.1,DFNA23,ENSG00000126778.9,Q15475",['4EGC'],1
SIX2,SIX homeobox 2,10736.0,2:45005161-45009430,2,,2p21,yes,,Wilms tumour,,,O,,oncogene,Mis,,,,"CCDS1822.1,ENSG00000170577.7,NM_016932.4,NP_058628,Q9NPC8",,0
SKI,SKI proto-oncogene,6497.0,1:2228695-2310119,2,,1p36.33,yes,,melanoma,,,E,,oncogene,Mis,,,,"CCDS39.1,ENSG00000157933.9,NM_003036.3,NP_003027,P12755","['1MR1', '1SBX', '5XOD', '6ZVQ']",4
SLC34A2,"solute carrier family 34 (sodium phosphate), member 2",10568.0,4:25655844-25678748,1,Yes,4p15.2,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,,,"CCDS3435.1,ENSG00000157765.12,NAPI-3B,NM_006424.2,NP_006415,NP_006415.2,O95436",,0
SLC45A3,"solute carrier family 45, member 3",85414.0,1:205657851-205680459,1,Yes,1q32.1,yes,,prostate,,,E,Dom,fusion,T,"ETV1, ETV5, ELK4, ERG, BRAF",,,"CCDS1458.1,ENSG00000158715.5,IPCA-2,IPCA-6,IPCA-8,NM_033102.2,NP_149093,PCANAP2,PCANAP6,PCANAP8,Q96JT2,prostein",,0
SMAD2,SMAD family member 2,4087.0,18:47808957-47930559,1,Yes,18q21.1,yes,,"colorectal carcinoma, hepatocellular carcinoma",,,E,Rec,TSG,"Mis, N",,,,"CCDS11934.1,ENSG00000175387.15,JV18-1,MADH2,MADR2,NM_005901.5,NP_005892,Q15796","['1DEV', '1KHX', '1U7V', '2LB3', '5XOD', '5ZOJ', '6H3R', '6M64', '6YIA', '6ZVQ', '7CO1']",11
SMAD3,SMAD family member 3,4088.0,15:67065845-67195195,1,Yes,15q22.33,yes,,"colorectal carcinoma, oral squamous cell carcinoma",,,E,Rec,TSG,Mis,,,,"CCDS10222.1,ENSG00000166949.15,HsT17436,JV15-2,MADH3,NM_005902.3,NP_005893,P84022","['1MHD', '1MJS', '1MK2', '1OZJ', '1U7F', '2LAJ', '2LB2', '5OD6', '5ODG', '5XOC', '6YIB', '6ZMN']",12
SMAD4,SMAD family member 4,4089.0,18:51030213-51085039,1,Yes,18q21.2,yes,yes,"colorectal, pancreatic, small intestine",gastrointestinal polyp,juvenile polyposis,E,Rec,TSG,"D, Mis, N, F",,,,"CCDS11950.1,DPC4,ENSG00000141646.13,MADH4,NM_005359.5,NP_005350,Q13485","['1DD1', '1G88', '1MR1', '1U7F', '1U7V', '1YGS', '5C4V', '5MEY', '5MEZ', '5MF0', '5UWU', '6YIC']",12
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",6597.0,19:10960825-11062282,1,Yes,19p13.2,yes,,"NSCLC, SCCOHT",,,E,Rec,TSG,"F, N, Mis, S",,,,"BAF190,BRG1,CCDS12253.1,ENSG00000127616.18,FLJ39786,NM_003072.3,NP_003063,P51532,SNF2,SNF2-BETA,SNF2L4,SNF2LB,SWI2,hSNF2b","['2GRC', '2H60', '3UVD', '5DKD', '5EA1', '6BGH', '6HR2', '6LTH', '6LTJ', '6SY2', '6ZS2', '7TAB', '7VDT', '7VDV', '7VRB', '7Y8R', '8EB1', '8G1Q']",18
SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",6598.0,22:23786963-23834505,1,Yes,22q11.23,yes,yes,malignant rhabdoid,malignant rhabdoid,rhabdoid predisposition syndrome,M,Rec,TSG,"D, N, F, S",,,,"BAF47,CCDS82699.1,ENSG00000099956.19,Ini1,NM_001317946.1,NP_001304875,PPP1R144,RDT,SNF5,SNF5L1,Sfh1p,Snr1,hSNFS","['5AJ1', '5GJK', '5L7A', '5L7B', '6AX5', '6KAG', '6KZ7', '6LTH', '6LTJ', '6LZP', '6UCH', '7VDV', '7Y8R']",13
SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",6602.0,12:50084972-50100712,2,,12q13.12,yes,,breast,,,E,Rec,TSG,N,,,,"BAF60A,CCDS8797.2,CRACD1,ENSG00000066117.14,NM_003076.4,NP_003067,Q96GM5,Rsc6p","['6LTH', '6LTJ', '7VDV', '7Y8R']",4
SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",6605.0,17:40624962-40648864,1,,17q21.2,,yes,,meningioma,,O,Rec,TSG,"F, Mis, N",,,,"BAF57,CCDS11370.1,ENSG00000073584.19,NM_003079.4,NP_003070,Q969G3","['6LTH', '6LTJ', '7CYU', '7VDV', '7Y8R']",5
SMC1A,structural maintenance of chromosomes 1A,8243.0,X:53374149-53422728,2,,Xp11.22,yes,,AML,,,L,,TSG,Mis,,yes,Cornelia de Lange syndrome,"CCDS14352.1,DXS423E,ENSG00000072501.17,KIAA0178,NM_006306.3,NP_006297,Q14683,SB1.8,SMC1L1,Smcb","['6WG3', '6WG4', '6WG6', '6WGE', '7W1M']",5
SMO,smoothened homolog (Drosophila),6608.0,7:129188872-129213545,1,Yes,7q32.1,yes,,skin basal cell,,,E,Dom,oncogene,Mis,,,,"CCDS5811.1,ENSG00000128602.9,FZD11,NM_005631.4,NP_005622,Q99835,SMOH","['4JKV', '4N4W', '4O9R', '4QIM', '4QIN', '5L7D', '5L7I', '5V56', '5V57', '6OT0', '6XBJ', '6XBK', '6XBL', '6XBM', '7ZI0']",15
SND1,staphylococcal nuclease and tudor domain containing 1,27044.0,7:127652180-128092607,1,,7q32.1,yes,,pancreas acinar carcinoma,,,E,Dom,"oncogene, fusion",T,BRAF,,,"CCDS34747.1,ENSG00000197157.10,NM_014390.2,NP_055205,Q7KZF4,TDRD11,p100","['2E6N', '2HQE', '2HQX', '2O4X', '3BDL', '3OMC', '3OMG', '4QMG', '5M9O', '7KNW', '7KNX']",11
SNX29,RUN domain containing 2A,92017.0,16:11976738-12574289,2,,16p13.13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,fusion,T,CIITA,,,"CCDS10553.2,ENSG00000048471.13,FLJ12363,NM_032167.4,NP_115543,Q8TEQ0,RUNDC2A",,0
SOCS1,suppressor of cytokine signaling 1,8651.0,16:11254417-11256200,1,Yes,16p13.13,yes,,"Hodgkin lymphoma, PMBL",,,L,Rec,TSG,"F, O",,,,"CCDS10546.1,Cish1,ENSG00000185338.5,JAB,SOCS-1,SSI-1,TIP3",,0
SOX2,SRY (sex determining region Y)-box 2,6657.0,3:181711924-181714436,1,,3q26.33,yes,,"NSCLC, oesophageal squamous carcinoma",,,E,Dom,oncogene,A,,yes,Microphthalmia and oesophageal atresia syndrome,"CCDS3239.1,ENSG00000181449.3,NM_003106.3,NP_003097,P48431","['1O4X', '2LE4', '6T7B', '6T90', '6WX7', '6WX8', '6WX9', '6YOV']",8
SOX21,SRY-box 21,11166.0,13:94709622-94712399,2,,13q32.1,yes,,multiple myeloma,,,L,,TSG,D,,,,"CCDS9473.1,ENSG00000125285.5,NM_007084.3,NP_009015,Q9Y651,SOX25",,0
SPECC1,sperm antigen with calponin homology and coiled-coil domains 1,92521.0,17:20087022-20314755,2,,17p11.2,yes,,JMML,,,L,Dom,fusion,T,PDGFRB,,,"CCDS32590.1,CYTSB,ENSG00000128487.16,FLJ36955,HCMOGT-1,NM_001033553.2,NP_001028725,NSP,Q5M775",,0
SPEN,spen family transcriptional repressor,23013.0,1:15847864-15940460,1,Yes,1p36.21,yes,,"SMZL, adenoid cystic carcinoma, DLBCL",,,L,Rec,TSG,"F, Mis, N",,,,"CCDS164.1,ENSG00000065526.10,KIAA0929,MINT,NM_015001.2,NP_055816,Q96T58,RBM15C,SHARP","['1OW1', '2RT5', '4P6Q', '7Z1K']",4
SPOP,speckle type POZ protein,8405.0,17:49598884-49678110,1,Yes,17q21.33,yes,yes,"prostate, endometrial",prostate cancer,,E,Rec,TSG,Mis,,,,"BTBD32,CCDS11551.1,ENSG00000121067.17,NM_003563.3,NP_003554,NP_001007227,O43791,TEF2","['2CR2', '3HQH', '3HQI', '3HQL', '3HQM', '3HSV', '3HTM', '3HU6', '3IVB', '3IVQ', '3IVV', '4EOZ', '4HS2', '4J8Z', '4O1V', '6F8F', '6F8G', '6I41', '6I5P', '6I68', '6I7A', '7D3D', '7KLZ', '7LIN', '7LIO', '7LIP', '7LIQ', '8DWS', '8DWT', '8DWU', '8DWV']",31
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",6714.0,20:37346154-37406050,1,Yes,20q11.23,yes,,"colorectal cancer, endometrial carcinoma",,,E,Dom,oncogene,"Mis, N",,,,"ASV,CCDS13294.1,ENSG00000197122.11,NP_005408.1,NP_938033.1,P12931,SRC1,c-src","['1A07', '1A08', '1A09', '1A1A', '1A1B', '1A1C', '1A1E', '1FMK', '1HCS', '1HCT', '1KSW', '1O41', '1O42', '1O43', '1O44', '1O45', '1O46', '1O47', '1O48', '1O49', '1O4A', '1O4B', '1O4C', '1O4D', '1O4E', '1O4F', '1O4G', '1O4H', '1O4I', '1O4J', '1O4K', '1O4L', '1O4M', '1O4N', '1O4O', '1O4P', '1O4Q', '1O4R', '1SHD', '1Y57', '1YI6', '1YOJ', '1YOL', '1YOM', '2BDF', '2BDJ', '2H8H', '2SRC', '3VRO', '3ZMP', '3ZMQ', '4F59', '4F5A', '4F5B', '4HXJ', '4K11', '4MXO', '4MXX', '4MXY', '4MXZ', '6ATE', '6C4S', '6E6E', '6EHJ', '7NG7', '7OTE', '7T1U', '7YQE', '8HAQ']",69
SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,9901.0,3:8980591-9249379,2,,3p25.3,yes,,pilocytic astrocytoma,,,O,Dom,fusion,T,RAF1,,,"ARHGAP14,CCDS2572.1,ENSG00000196220.15,KIAA0411,MEGAP,NM_014850.3,NP_055665,O43295,SRGAP2,WRP",,0
SRSF2,serine/arginine-rich splicing factor 2,6427.0,17:76734115-76737333,1,Yes,17q25.1,yes,,"MDS, CLL",,,L,Dom,oncogene,Mis,,,,"CCDS11749.1,ENSG00000161547.16,NM_003016.4,NP_003007,PR264,Q01130,SC-35,SC35,SFRS2,SFRS2A","['2KN4', '2LEA', '2LEB', '2LEC']",4
SRSF3,serine/arginine-rich splicing factor 3,6428.0,6:36594368-36605600,1,,6p21.31,yes,,follicular lymphoma,,,L,Dom,"oncogene, fusion",T,BCL6,,,"CCDS4823.1,ENSG00000112081.16,NM_003017.4,NP_003008,P84103,SFRS3,SRp20","['2I2Y', '2I38']",2
SS18,"synovial sarcoma translocation, chromosome 18",6760.0,18:26016253-26090625,1,,18q11.2,yes,,synovial sarcoma,,,M,Dom,fusion,T,"SSX1,  SSX2, SSX4",,,"CCDS32807.1,ENSG00000141380.13,NM_001007559.2,NP_001007560,Q15532,SSXT,SYT",['7VRB'],1
SS18L1,synovial sarcoma translocation gene on chromosome 18-like 1,26039.0,20:62143795-62182484,1,,20q13.33,yes,,synovial sarcoma,,,M,Dom,fusion,T,SSX1,,,"CCDS13491.1,CREST,ENSG00000184402.14,KIAA0693,NM_198935.2,NP_945173,O75177",,0
SSX1,"synovial sarcoma, X breakpoint 1",6756.0,X:48255317-48267444,1,,Xp11.23,yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,"CCDS14290.1,CT5.1,ENSG00000126752.7,NM_005635.3,NP_005626,NP_001265620,Q16384",,0
SSX2,"synovial sarcoma, X breakpoint 2",6757.0,X:52696896-52707161,1,,Xp11.22,yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,"CCDS14345.2,CT5.2a,ENSG00000241476.8,HD21,HOM-MEL-40,MGC119055,MGC15364,MGC3884,NM_003147.5,NP_003138,NP_001265626.1,Q16385,SSX",['8HQY'],1
SSX4,"synovial sarcoma, X breakpoint 4",6759.0,X:48383527-48393347,1,,Xp11.23,yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,"CCDS35240.1,CT5.4,ENSG00000268009.5,NM_005636.3,NP_005627,O60224",,0
STAG1,stromal antigen 1,10274.0,3:136336233-136752368,2,,3q22.3,yes,,"colorectal cancer, AML",,,"E, L",,TSG,"Mis, N",,,,"CCDS3090.1,ENSG00000118007.12,NM_005862.2,NP_005853,Q8WVM7,SA-1,SA1,SCC3A","['5QSM', '5QSN', '5QSO', '5QSP', '5QSQ', '5QSR', '5QSS', '5QST', '5QSU', '5QSV', '5QSW', '5QSX', '5QSY', '5QSZ', '6QB5', '6R7O', '6RRC', '6RRK', '6WG3', '7W1M']",20
STAG2,stromal antigen 2,10735.0,X:123960519-124101498,1,Yes,Xq25,yes,,"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms",,,"E, L, M, O",Rec,TSG,"Mis, N, F, S",,,,"CCDS43990.1,ENSG00000101972.18,NM_001042749.2,NP_001036214,Q8N3U4,SA-2,SA2,SCC3B","['4PJU', '4PJW', '4PK7', '6QNX', '7ZJS']",5
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),6774.0,17:42313324-42388568,1,Yes,17q21.2,yes,yes,T-cell large granular lymphocytic leukaemia,paediatric large granular lymphocytic leukaemia,,L,Dom,oncogene,"Mis,O",,yes,IPEX-like syndrome,"APRF,CCDS32656.1,ENSG00000168610.14,NM_139276.2,NP_003141.2,NP_644805.1,P40763","['5AX3', '5U5S', '6NJS', '6NUQ', '6QHD', '6TLC']",6
STAT5B,signal transducer and activator of transcription 5B,6777.0,17:42199168-42276406,1,Yes,17q21.2,yes,,"large granular lymphocytic leukaemia, skin basal cell, APL",,,"L, E",Dom,"oncogene, TSG, fusion","Mis, O, T",RARA,yes,IPEX-like syndrome,"CCDS11423.1,ENSG00000173757.9,NM_012448.3,NP_036580,P51692","['6MBW', '6MBZ']",2
STAT6,"signal transducer and activator of transcription 6, interleukin-4 induced",6778.0,12:57095408-57111433,1,,12q13.3,yes,,"solitary fibrous tumour, meningeal haemangiopericytoma",,,"M, O",Dom,"oncogene, fusion",T,NAB2,,,"CCDS8931.1,D12S1644,ENSG00000166888.11,IL-4-STAT,NM_003153.4,NP_003144,NP_001171549,P42226","['1OJ5', '4Y5U', '4Y5W', '5D39', '5NWM', '5NWX']",6
STIL,SCL/TAL1 interrupting locus,6491.0,1:47250142-47314140,1,,1p33,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TAL1,,,"CCDS41329.1,ENSG00000123473.15,MCPH7,NM_001048166.1,NP_001041631,Q15468,SIL","['4YYP', '5LHW', '5LHZ', '8OYK', '8OYL']",5
STK11,serine/threonine kinase 11 gene (LKB1),6794.0,19:1206464-1228435,1,Yes,19p13.3,yes,yes,"NSCLC, pancreatic","jejunal hamartoma, ovarian, testicular, pancreatic",Peutz-Jeghers syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"CCDS45896.1,ENSG00000118046.14,LKB1,NM_000455.4,NP_000446,PJS,Q15831","['2WTK', '4ZDR', '5WXN']",3
STRN,"striatin, calmodulin binding protein",6801.0,2:36843640-36966472,1,,2p22.2,yes,,"anaplastic thyroid, papillary thyroid, lung",,,E,Dom,fusion,T,ALK,,,"CCDS1784.1,ENSG00000115808.11,NM_003162.3,NP_003153,O43815,PPP2R6A,STRN1",,0
SUB1,SUB1 Regulator Of Transcription,10923.0,5:32585499-32604079,2,,5p13.3,yes,,lung cancer,,,E,,,A,,,,"CCDS3897.1,ENSG00000113387.11,NM_006713.3,NP_006704,P53999,PC4,p14,p15","['1PCF', '2C62', '2PHE', '4USG', '6YCS', '7E4W']",6
SUFU,suppressor of fused homolog (Drosophila),51684.0,10:102503987-102633535,1,Yes,10q24.32,yes,yes,medulloblastoma,medulloblastoma,medulloblastoma predisposition,O,Rec,TSG,"D, F, S",,,,"CCDS7537.1,ENSG00000107882.11,NM_016169.3,NP_057253,PRO1280,Q9UMX1,SUFUH,SUFUXL","['1M1L', '4BL8', '4BL9', '4BLA', '4BLB', '4BLD', '4KM8', '4KM9', '4KMD', '4KMH']",10
SUZ12,suppressor of zeste 12 homolog (Drosophila),23512.0,17:31937018-32001045,1,Yes,17q11.2,yes,,endometrial stromal tumour,,,M,Dom,"oncogene, TSG, fusion",T,JAZF1,,,"CCDS11270.1,CHET9,ENSG00000178691.10,JJAZ1,KIAA0160,NM_015355.3,NP_056170,Q15022","['4W2R', '5HYN', '5IJ7', '5IJ8', '5LS6', '5WAI', '5WAK', '5WG6', '6B3W', '6C23', '6C24', '6NQ3', '6WKR', '7AT8', '7KSO', '7KSR', '7KTP', '7TD5', '8FYH']",19
SYK,spleen tyrosine kinase,6850.0,9:90801787-90898549,1,,9q22.2,yes,,"MDS, peripheral T-cell lymphoma",,,L,Dom,"oncogene, fusion",T,"ETV6, ITK",,,"CCDS6688.1,ENSG00000165025.14,NM_003177.6,NP_003168,P43405","['1A81', '1CSY', '1CSZ', '1XBA', '1XBB', '1XBC', '3BUW', '3EMG', '3FQE', '3FQH', '3FQS', '3SRV', '3TUB', '3TUC', '3TUD', '3VF8', '3VF9', '4DFL', '4DFN', '4F4P', '4FL1', '4FL2', '4FL3', '4FYN', '4FYO', '4FZ6', '4FZ7', '4GFG', '4I0R', '4I0S', '4I0T', '4PUZ', '4PV0', '4PX6', '4RSS', '4RX7', '4RX8', '4RX9', '4WNM', '4XG2', '4XG3', '4XG4', '4XG6', '4XG7', '4XG8', '4XG9', '4YJO', '4YJP', '4YJQ', '4YJR', '4YJS', '4YJT', '4YJU', '4YJV', '5C26', '5C27', '5CXH', '5CXZ', '5CY3', '5GHV', '5LMA', '5LMB', '5T68', '5TIU', '5TR6', '5TT7', '5Y5T', '5Y5U', '6HM6', '6HM7', '6SSB', '6VOV', '6ZC0', '6ZCP', '6ZCQ', '6ZCR', '6ZCS', '6ZCU', '6ZCX', '6ZCY', '7Q5T', '7Q5U', '7Q5W', '7Q63', '7SA7', '8BI2']",86
TAF15,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa",8148.0,17:35809455-35847242,1,,17q12,yes,,"extraskeletal myxoid chondrosarcoma, ALL",,,"L, M",Dom,"oncogene, fusion",T,"NR4A3, CHN1, ZNF384",,,"CCDS32623.1,ENSG00000270647.5,NM_139215.2,NP_631961,Npl3,Q92804,RBP56,TAF2N,hTAFII68","['2MMY', '8ONS']",2
TAL1,T-cell acute lymphocytic leukemia 1 (SCL),6886.0,1:47216292-47229771,1,,1p33,yes,,lymphoblastic leukaemia/biphasic,,,L,Dom,"oncogene, fusion",T,"TRD, STIL",,,"CCDS547.1,ENSG00000162367.11,NM_003189.5,NP_003180,NP_001277332,NP_001277334,P17542,SCL,TCL5,bHLHa17","['2YPA', '2YPB']",2
TAL2,T-cell acute lymphocytic leukemia 2,6887.0,9:105662457-105663112,1,,9q31.2,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRB,,,"CCDS6767.1,ENSG00000186051.6,NM_005421.2,NP_005412,Q16559,bHLHa19",,0
TBL1XR1,transducin (beta)-like 1 X-linked receptor 1,79718.0,3:177019355-177196478,1,Yes,3q26.32,yes,,"splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma",,,"L, E, M",Rec,"oncogene, TSG, fusion","F, Mis",,,,"C21,CCDS46961.1,DC42,ENSG00000177565.16,FLJ12894,IRA1,NM_001321195.1,NP_001308122,NP_001308124.1,Q9BZK7,TBLR1",['4LG9'],1
TBX3,T-box 3,6926.0,12:114670255-114683590,1,Yes,12q24.21,yes,,"breast, large intestine, skin",,,E,Dom,"oncogene, TSG","Mis, N, F, O",,yes,ulnar-mammary syndrome,"CCDS9176.1,ENSG00000135111.15,NM_016569.3,NP_057653,O15119,TBX3-ISO,UMS,XHL",['1H6F'],1
TCEA1,"transcription elongation factor A (SII), 1",6917.0,8:53966556-54022529,1,,8q11.23,yes,,salivary adenoma,,,E,Dom,fusion,T,PLAG1,,,"CCDS47858.1,ENSG00000187735.13,GTF2S,NM_006756.3,NP_006747,P23193,SII,TCEA,TF2S,TFIIS","['1TFI', '3NDQ', '5IY6', '5IY7', '5IY8', '5IYA', '5IYB', '5IYC', '6O9L', '6ZUY', '6ZV4', '7CNF', '7UNC', '7UND', '8A40']",15
TCF12,"transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)",6938.0,15:56918623-57288514,1,,15q21.3,yes,,extraskeletal myxoid chondrosarcoma,,,M,Dom,fusion,T,NR4A3,,,"CCDS10160.1,ENSG00000140262.17,HEB,HTF4,HsT17266,NM_207037.1,NP_996920,NP_001309088,NP_996919,NP_001309081.1,Q99081,bHLHb20,p64","['2KNH', '4JOL']",2
